1,106.141621,106.141645,2,!$omp implicit barrier @strassen.c:135,1639,14618
1,0.000261,106.141657,1,!$omp for @strassen.c:117,278563566241,251781086582
1,0.000256,106.141659,0,!$omp parallel @strassen.c:117,278563569230,251781093661
2,105.338303,106.141672,2,!$omp implicit barrier @strassen.c:135,2101649,4378407
0,105.531259,106.141674,2,!$omp implicit barrier @strassen.c:135,2101648,4366888
3,105.118817,106.141674,2,!$omp implicit barrier @strassen.c:135,2103046,5761735
2,0.000487,106.141677,1,!$omp for @strassen.c:117,278565664359,250991882788
2,0.000483,106.141679,0,!$omp parallel @strassen.c:117,278565667348,250991888332
0,0.000016,106.141682,1,!$omp for @strassen.c:117,278565664480,251070318759
3,0.000500,106.141682,1,!$omp for @strassen.c:117,278565665487,250626700398
0,0.000000,106.141684,0,!$omp parallel @strassen.c:117,278565667471,251070333344
3,0.000496,106.141684,0,!$omp parallel @strassen.c:117,278565668476,250626706548
