2,106.839966,106.840005,2,!$omp implicit barrier @strassen.c:135,875,380
2,0.000493,106.840008,1,!$omp for @strassen.c:117,3024225497,3032587551
2,0.000489,106.840009,0,!$omp parallel @strassen.c:117,3024225799,3032587576
1,106.566564,106.840025,2,!$omp implicit barrier @strassen.c:135,1112,454
0,106.321866,106.840025,2,!$omp implicit barrier @strassen.c:135,1196,710
3,106.646425,106.840025,2,!$omp implicit barrier @strassen.c:135,749,389
1,0.000491,106.840030,1,!$omp for @strassen.c:117,2810916825,2818190765
1,0.000486,106.840032,0,!$omp parallel @strassen.c:117,2810917340,2818190928
0,0.000015,106.840034,1,!$omp for @strassen.c:117,3059486112,3067632222
3,0.000263,106.840034,1,!$omp for @strassen.c:117,2839135454,2846192468
0,0.000000,106.840036,0,!$omp parallel @strassen.c:117,3059486905,3067632494
3,0.000258,106.840036,0,!$omp parallel @strassen.c:117,2839135922,2846192634
